Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
St. Kitts and Nevis,17734.62004,18898.42789,19424.95332,18861.59023,19903.88922,22257.62821,23359.95826,23754.90841,25570.31248,24685.25821,24033.32038,24766.19605,24461.13248,25999.0328,27910.15016,28261.41206
"Korea, Rep.",18082.9548,19168.21512,20775.10514,21376.76617,22936.81163,24196.42385,25820.97163,27822.27653,28655.98352,28325.2093,30365.27837,31228.5107,32097.164,32615.77259,33587.5834,35760.73444
Kuwait,56067.05908,55831.35461,57502.26456,67935.05515,75549.67174,83521.9999,88482.98358,91290.71514,89916.47335,79265.59307,73817.97698,78021.67168,80209.81453,78399.24717,76703.31167,75042.14197
Lao PDR,1979.537838,2105.342745,2230.725003,2373.963598,2553.684695,2776.517672,3056.927319,3321.339336,3589.502001,3823.692269,4130.547187,4485.181127,4863.791732,5267.284644,5689.82855,6075.952799
Lebanon,8448.529729,8632.385929,8654.47792,8672.163654,9091.163179,9366.765445,9688.656235,10860.92089,12102.83681,13286.61257,14111.19139,13841.53501,13610.88835,13309.01995,13049.03296,12695.41014
Liberia,1048.694769,1063.610813,1094.849374,765.7607838,791.8993006,837.6613236,901.3154509,974.9193196,1021.823984,1041.945486,1078.946046,1154.40937,1234.280819,1329.049283,1328.913111,1309.269565
Libya,17437.0857,17230.91106,17060.31866,19326.376,20406.82756,23181.26796,25053.9574,26958.63336,27825.07083,27474.49038,28890.36545,11096.15636,25080.96838,21929.50351,16870.48513,15403.57322
St. Lucia,8486.854699,8300.631416,8402.606913,8860.384636,9682.614003,9845.841882,10644.30463,11005.98965,11614.16662,11384.55596,11428.51171,12049.20936,12168.57838,12078.36362,12416.87345,12520.76322
Liechtenstein,,,,,,,,,,,,,,,,
Sri Lanka,4410.987735,4406.600002,4616.969352,4940.196264,5304.427424,5764.132459,6344.939228,6906.996548,7407.324792,7674.350942,8328.90662,9155.658792,10171.42447,10618.20208,11250.30924,11830.69575
Lesotho,1303.543534,1377.59123,1413.615276,1514.086085,1590.942832,1705.716887,1837.356205,1980.900154,2155.306978,2215.177375,2378.563578,2578.639634,2767.67561,2857.768834,2972.012946,3062.068836
Lithuania,8457.608774,9451.636523,10494.35179,12067.65917,13031.50054,14526.0824,16484.59202,19095.43677,20744.12753,18145.85292,20039.01002,22823.91839,24645.56909,26680.03416,28156.13581,28823.81289
Latvia,8015.685601,9018.397415,10052.62273,11010.88527,12199.16411,13836.84355,15745.10313,18127.15673,19466.14509,16924.03115,17587.34596,19789.4764,21291.1197,22692.85344,23844.22612,24830.93429
"Macao SAR, China",33616.33289,34526.36757,37283.94641,41356.41236,52527.87894,57164.45169,65257.00934,75063.00432,77472.77793,77417.84569,95951.96228,116456.9567,126618.3727,139962.1749,137832.9615,107069.5956
Morocco,3574.843324,3873.407176,4009.185551,4276.012573,4547.823685,4787.233945,5243.914739,5509.929878,5879.26095,6099.692766,6324.152955,6703.876831,6940.434737,7278.362142,7507.240831,7822.968048
Monaco,,,,,,,,,,,,,,,,
Moldova,2235.878102,2429.72802,2666.845803,2903.817694,3210.597016,3567.570266,3862.678175,4094.912562,4508.754038,4275.933379,4637.516516,5012.742008,5079.416347,5637.502408,6035.022647,6082.841894
Madagascar,1340.131271,1407.821118,1211.285973,1314.210686,1378.740509,1443.840549,1517.271503,1608.135453,1700.21266,1599.214903,1583.036118,1596.89409,1631.312329,1652.671039,1693.795099,1718.597532
Maldives,7800.490466,7472.464508,7924.279814,8923.529345,9448.786658,8242.991429,10452.27422,11296.00956,12303.97044,11177.85596,11720.52813,12486.44691,12496.42826,13039.04792,13622.88572,13546.05023
Mexico,11089.81343,11129.86896,11187.47762,11482.44959,12085.7618,12657.63719,13808.17762,14290.06724,14924.82175,14558.24481,15260.62055,16520.25851,17162.92752,17373.89702,18045.98446,18284.88284
Marshall Islands,2476.246796,2668.129428,2760.841073,2710.465424,2757.248092,2866.939653,2946.295217,3093.465138,2934.230051,2995.234351,3252.367857,3285.582535,3258.500774,3425.601546,3443.028342,3519.218145
North Macedonia,6127.035274,6028.860911,6305.372185,6502.651099,7080.110143,7759.701569,8584.853586,9242.973203,10418.05514,10914.42066,11273.857,11611.25115,11839.61687,12653.59655,13368.14674,13831.22799
Mali,1166.376271,1335.566578,1357.257746,1462.478263,1477.634673,1571.587683,1639.719328,1685.393542,1741.249136,1777.690079,1836.816217,1877.892828,1842.686602,1863.367757,1974.217655,2053.128574
Malta,19425.71188,19621.34454,20561.69408,20937.60382,21401.14407,22232.48289,23223.97713,24893.20115,26193.18285,26139.50818,27809.1065,28585.82045,29437.16903,31080.26838,33391.11068,36195.56319
Myanmar,1025.710408,1154.626473,1300.795797,1494.384325,1727.868284,2007.514098,2322.057579,2653.118882,2963.697788,3280.274594,3613.019143,3864.959768,4193.132339,4587.086831,5005.999653,5372.241161
Montenegro,6002.627014,6773.144226,7100.282774,7332.728503,7835.159297,8313.65688,10447.90074,12447.2825,13816.61796,13024.77202,13634.99696,14472.45826,13863.88105,14870.22694,15371.1069,16337.25379
Mongolia,3704.257383,3861.572885,4068.489678,4388.534427,4930.358646,5387.888859,5949.514034,6644.628515,7270.048778,7119.208251,7530.75353,8853.125419,9939.570296,11068.45656,11925.8134,12100.12735
Northern Mariana Islands,,,,,,,,,,,,,,,,
Mozambique,504.0740388,561.2486948,605.0869388,639.6857231,688.3647277,735.376635,808.0249408,869.4162049,925.1805404,964.3353336,1010.752656,1078.208603,1146.642098,1213.929695,1291.74681,1354.391906
Mauritania,2255.10044,2288.067066,2275.961576,2388.844886,2521.691232,2753.877366,3277.513188,3362.484972,3366.393023,3260.58864,3356.361346,3483.522101,3646.727568,3822.312546,3993.317015,3937.947108
Mauritius,8977.839746,9407.27454,9643.218155,10329.29675,10997.50266,11473.50702,12338.18105,13334.33017,14274.27438,14820.49866,15612.29342,16561.77098,17421.14502,18282.22808,19290.69193,20162.99668
Malawi,703.1408641,665.8978472,671.3882915,705.6155993,745.1582906,773.116299,811.5953094,888.2018943,947.2435231,1004.660758,1055.49399,1097.942135,1107.97055,1152.848569,1207.29441,1220.229587
Malaysia,12973.90027,13037.70037,13670.03764,14437.40671,15522.70405,16531.59892,17632.1306,18872.82195,19787.69915,19283.45231,20605.20111,21806.82279,23105.07529,24279.37169,25875.50267,27116.57626
Namibia,5203.03658,5293.947383,5550.438276,5806.673404,6594.173668,6861.588443,7442.555097,7911.929266,8130.123186,8067.700206,8500.097148,8959.515893,9427.082267,9955.453108,10598.66867,11160.37964
New Caledonia,,,,,,,,,,,,,,,,
Niger,600.6752781,633.9734318,639.4484554,661.008422,654.7420992,679.7015488,713.6738644,728.0355856,783.1968713,754.2540731,795.6828256,799.258376,876.2759995,902.6625995,951.1605867,964.8380788
Nigeria,2442.50098,2578.21048,2945.251781,3139.679071,3433.443947,3672.153889,3909.120916,4167.553703,4417.395066,4682.435935,4981.358232,5213.837194,5392.096403,5698.166678,6009.989453,6072.477295
Nicaragua,2718.03664,2817.618872,2842.900823,2927.856377,3123.423668,3313.09333,3506.683287,3732.018183,3881.592411,3730.984825,3887.787537,4163.256335,4458.726178,4697.737392,4950.081248,5174.972123
Netherlands,31875.23602,33194.04609,34447.20532,34111.80335,35777.15324,37625.56171,40971.26076,43896.7387,46420.20168,44566.0619,45040.31808,46599.02103,47272.10302,49241.51784,49233.2154,50302.06775
Norway,36941.60093,37780.10051,37980.35398,38550.95539,42511.17645,47797.52995,54104.28927,55876.50392,61716.59971,55375.57628,57915.01937,62076.74066,65354.77925,66961.2531,65892.68928,60385.11676
Nepal,1214.984044,1279.532443,1281.411281,1337.483006,1418.660868,1494.627788,1571.99503,1649.306356,1765.030528,1844.102817,1946.058721,2052.547197,2196.118851,2333.145473,2520.689553,2621.766575
Nauru,,,,,,,,3816.38273,5203.830851,5670.057531,6470.453571,7339.304367,8056.696421,10451.93901,13273.48365,13104.48037
New Zealand,21521.70657,22500.47759,23306.27954,23967.42075,25080.47246,25677.41908,27758.16574,29385.89572,29860.52773,30699.66202,31253.0536,32734.53667,32986.18289,36219.42401,37260.6294,37475.17836
Oman,34986.15382,36916.87265,36454.36055,35363.22896,35891.78174,36938.61607,39020.84471,40649.82056,43309.56224,44291.07489,44408.58742,41942.12056,43436.87778,42862.89365,41950.78764,41911.08648
Pakistan,2706.43252,2750.394675,2815.116141,2936.770126,3164.243422,3433.223613,3670.481818,3862.100588,3914.611952,3966.565219,3988.656725,4094.527112,4228.513001,4398.38123,4593.96424,4762.296721
Panama,8454.716158,8522.941831,8683.41252,9044.711519,9802.658752,10636.88888,11691.26125,13202.65612,14523.04302,14554.83079,15311.02913,17099.81883,18806.56302,20111.95122,21167.17679,22237.09305
Peru,5115.127919,5193.024653,5500.92409,5778.612059,6171.598136,6705.08808,7365.736619,8140.979682,8984.079457,9078.556657,9869.070416,10626.07713,11400.33573,12169.12008,12561.24545,12944.82234
Philippines,3361.325849,3459.885946,3566.98384,3736.355692,4013.774343,4255.375298,4531.986252,4877.472739,5093.578334,5106.399206,5468.305507,5689.760941,6081.936667,6514.667171,6930.764463,7313.409805
Palau,9889.832612,10598.36141,10995.73072,10787.8029,11595.39035,12495.8879,12837.98701,13626.28261,13433.88251,12979.86799,13411.10076,14527.31939,15168.30838,15245.61141,16195.01252,17977.53101
Papua New Guinea,2081.455362,2079.355108,2066.013058,2106.823758,2176.646249,2335.161838,2477.993252,2678.298445,2656.864455,2791.714611,3039.786236,3069.758098,3206.196245,3318.804769,3763.077879,4081.298247
Poland,10652.90829,11101.97471,11781.05635,12257.14487,13341.1,13895.92354,15142.18487,16787.97025,18310.44321,19246.44868,21048.33052,22850.63885,23833.2097,24719.24751,25612.25783,26856.03522
Puerto Rico,24672.33756,26748.01329,27384.78362,27890.78341,31141.05605,31518.4847,32150.48833,32821.89961,33036.52581,32816.94611,33229.92303,34195.65107,35286.05921,36207.67954,37053.7532,37715.36186
Portugal,18879.28669,19533.0661,20356.6473,20827.98424,21458.27674,22725.27749,24657.10482,25708.24619,26665.8373,26464.31081,27259.7661,26769.51189,26438.0163,27936.03966,28742.44038,29668.8592
Paraguay,6353.237862,6313.615515,6292.121243,6565.983676,6896.878338,7146.774004,7600.70403,8111.137929,8674.8955,8601.540165,9541.371804,10016.77037,10015.48605,10898.44902,11486.94437,11807.77259
West Bank and Gaza,2934.99453,2651.48523,2297.572335,2600.928833,2872.854417,3199.431134,3087.761911,3294.411027,3465.978728,3695.023886,3937.239913,4405.778573,4656.126176,4728.009206,4697.286797,4799.105387
French Polynesia,,,,,,,,,,,,,,,,
Qatar,86169.39432,88138.42244,92091.2766,91451.60854,101329.4787,97768.57115,107541.4558,109362.5076,111255.9944,108953.6771,117518.7009,124024.5682,122674.7237,122495.788,123308.2023,123822.0833
Romania,5848.885376,6521.415379,7162.335654,7551.604779,8982.101337,9602.126199,11544.68273,13686.83097,16782.2321,16635.2298,16966.46061,17907.67463,18931.5325,19797.37887,20623.32437,21631.77015
Rwanda,637.9898128,681.7397558,765.6584963,784.935105,853.7919406,945.5541673,1054.465817,1136.486959,1253.996633,1307.068325,1383.013387,1486.655474,1606.102664,1669.971866,1762.105585,1890.203675
Saudi Arabia,34440.70584,33886.43082,32527.4347,35787.18204,38515.94714,40726.05788,41927.62125,42654.27419,44945.32113,43119.88439,44498.67574,48473.70921,50491.5474,51188.96364,52550.79246,53897.94398
Sudan,1845.523341,1953.48384,2053.798124,2191.622001,2273.597495,2450.7385,2702.901009,3011.096455,3220.329656,3262.020338,3327.142295,3643.092161,4152.156101,4306.149338,4397.809343,4551.996918
Senegal,1923.982135,2007.413896,2003.101585,2123.433736,2251.253122,2389.98818,2458.169034,2579.774467,2664.229276,2667.307426,2718.906572,2739.335655,2854.119263,2903.740826,3067.034049,3205.894499
Singapore,41662.74367,41000.41843,42886.18105,46342.2965,51612.82421,55809.70032,60745.45587,65230.10844,64230.63596,62873.49475,71565.99973,76034.33406,78978.82285,82881.407,86611.51359,89007.4608
Solomon Islands,1445.486229,1323.152188,1271.979025,1344.055352,1411.468426,1497.183034,1611.374058,1735.89457,1853.137465,1737.972509,1832.831573,2064.595803,2142.507048,2185.868783,2216.265053,2235.826964
Sierra Leone,723.1020523,667.3971627,820.5143366,872.2546754,913.9100037,947.9151529,985.790854,1064.550355,1116.993886,1135.631121,1183.330094,1255.453038,1440.997449,1730.996317,1803.863023,1416.366137
El Salvador,4466.055172,4573.706426,4691.691143,4827.613517,4977.067139,5246.379551,5614.58149,5847.272164,6088.377821,5981.526531,6152.394745,6492.63255,6773.622435,7014.692142,7236.117362,7453.429732
San Marino,60124.60568,64038.2942,64432.43081,67251.79035,71286.91179,74272.13113,78463.94477,85274.41008,87290.42012,75725.33716,72075.29692,65725.56752,61073.15924,59430.98471,59290.9167,59697.44342
Somalia,,,,,,,,,,,,,,,,
Serbia,5726.130474,6137.796738,6800.877215,7197.871716,8064.492325,9181.692585,10198.61081,11225.36244,12632.1427,12536.50405,12797.32427,13746.92668,13933.83821,14629.07053,14659.54058,14922.13735
Suriname,7799.400009,8207.121207,8469.853249,9063.396066,9981.176965,10630.65723,11453.18223,12219.65847,12824.43343,13159.25969,13841.41492,14788.068,15303.70159,15851.99662,16018.08688,15472.9779
Slovak Republic,11378.14219,12391.15318,13312.20331,14165.4041,15212.45963,16639.39412,18894.40435,21201.85853,23725.85776,23085.33289,25152.7642,26049.79238,26933.42222,27967.1723,28991.56583,29924.12155
Slovenia,18003.72503,18956.12075,20241.52542,21088.99236,22740.22061,23852.64328,25693.73095,27543.4917,29604.29123,27543.39118,27824.64807,28931.38371,29042.82027,29973.69911,30870.02367,31636.75003
Sweden,29453.55155,29770.04484,30751.20665,31583.04807,33608.73327,34029.19029,37435.37573,40592.8002,41971.61205,40156.41031,42179.33712,44503.67324,45304.41571,46138.45457,47045.64635,48975.00451
Eswatini,4905.545477,5025.168164,5299.747508,5587.107921,5925.264297,6449.37007,7005.219336,7465.187626,7619.630479,7742.410725,8073.511731,8370.819097,8930.862562,9373.003028,9565.531582,9810.545675
Sint Maarten (Dutch part),,,,,,,,,,31831.67673,33410.67883,36340.24464,36245.90974,35356.26954,35547.70212,35050.42282
Seychelles,14684.04361,14652.49076,14611.1608,14165.73618,14184.8837,15870.28455,17520.16314,19764.54473,19280.3927,19137.3887,19948.41572,22556.58257,23051.79171,24412.8862,25594.10396,26546.40585
Syrian Arab Republic,,,,,,,,,,,,,,,,
Turks and Caicos Islands,,,,,,,,,,,,19845.63099,19315.78149,19541.63676,20862.89067,21958.80232
Chad,789.0857645,866.9534573,919.30299,1033.579668,1365.774154,1593.191325,1595.093799,1635.096706,1661.636622,1688.082282,1875.557261,1852.938156,1988.064823,2067.796467,2179.247741,2191.741795
Togo,983.1198991,961.3663774,942.5333391,982.3464571,1004.334487,1020.978317,1065.777629,1089.696751,1125.033908,1164.346278,1216.508967,1286.470497,1360.257545,1430.525333,1504.32208,1566.994218
Thailand,7312.810698,7659.243252,8190.496026,8875.774031,9621.585542,10270.27254,11039.84209,11885.80937,12261.4599,12207.96845,13213.31474,13537.48834,14727.14305,15318.63674,15694.33668,16293.6098
Tajikistan,943.1371819,1039.08812,1150.196263,1276.807012,1420.907352,1533.305278,1658.496929,1798.807199,1938.442493,1986.596247,2094.538959,2245.785335,2404.805181,2567.785701,2726.507194,2851.709486
Turkmenistan,4243.798539,4477.728363,4514.82698,4702.340206,5019.026996,5786.876112,6539.938877,7366.385083,8499.066211,8955.280706,9738.983107,11212.4865,12469.88011,13726.37238,15144.54545,16011.55121
Timor-Leste,2597.769954,2844.860899,2628.765818,2577.720358,4232.660492,5791.984039,8277.114781,8774.681105,9655.649098,8981.084925,8821.211793,9860.331546,10369.38916,9216.474857,6833.300502,8177.850186
Tonga,3665.902526,3860.989502,4034.236903,4171.913068,4242.379484,4413.484858,4474.59379,4365.824859,4553.276725,4669.997988,4889.298528,5151.454825,5339.532136,5313.805671,5567.035411,5849.717335
Trinidad and Tobago,14590.83383,15477.72714,16896.24604,19597.94841,21615.02249,23555.7148,27346.16638,29283.36361,30724.79466,29454.02792,30620.1748,30980.45449,31770.1904,32831.47606,32937.07201,33698.66655
Tunisia,6021.264395,6331.13635,6465.27773,6843.692211,7408.824855,7839.868116,8421.998833,9135.799881,9605.921377,9868.305639,10227.32596,10139.13146,10642.5379,11032.93957,11460.34826,11598.86038
Turkey,9583.78065,9215.131989,9329.813176,9603.880437,10860.05874,11887.86395,13621.46548,14849.32529,16053.80379,15489.87192,17425.86136,19651.67848,20616.86987,22269.03766,23967.11803,25625.57463
Tuvalu,2428.493554,2498.379457,2706.083826,2628.841103,2624.523401,2569.873659,2672.208254,2889.413134,3152.091628,3003.298324,2925.616097,3180.104184,3086.009247,3248.194851,3319.10486,3619.410338
Tanzania,1245.069474,1314.909847,1392.131445,1470.929684,1578.693473,1700.950077,1815.144391,1934.752743,2026.252856,2088.519946,2182.374747,2329.330437,2408.249792,2539.662399,2680.385594,2791.023424
Uganda,849.103967,885.0605616,947.3411238,995.2352113,1057.383445,1123.213095,1242.210442,1339.980495,1438.876731,1500.178502,1552.93584,1679.937855,1722.184621,1757.490012,1820.129666,1868.547153
Ukraine,3817.510547,4303.35667,4646.840744,5225.772428,6062.087656,6485.633061,7227.729835,8033.265679,8423.700146,7267.415871,7664.396582,8281.867126,8481.779747,8647.990381,8710.749383,7972.435611
Uruguay,10249.7381,10054.52709,9422.245715,9681.415106,10446.4655,11574.32289,12399.89304,13540.07137,14756.47578,15456.18466,16808.28488,17993.44754,18930.9673,20094.29378,21069.23438,21300.97607
Uzbekistan,2499.496162,2627.207489,2741.054692,2876.463685,3137.531025,3420.094331,3740.23256,4145.109337,4533.914272,4853.690566,5136.234068,5502.049022,5933.17607,6394.541435,6866.481774,7327.832069
St. Vincent and the Grenadines,6018.054836,6248.683949,6736.242394,7373.343424,7873.038743,8312.448941,9223.366048,9795.376157,10155.83137,10028.25893,9807.792586,9965.064507,10285.2807,10639.2469,10948.04925,11182.83559
Virgin Islands (U.S.),,,,,,,,,,,,,,,,
Vietnam,2048.363759,2200.02024,2353.000468,2538.163204,2777.246874,3051.608497,3332.143253,3631.182562,3874.039234,4074.18424,4342.751917,4662.223052,4949.131363,5253.397519,5613.627304,5989.75769
Vanuatu,2247.43859,2166.861084,2037.99834,2110.139082,2196.248102,2326.010727,2537.567155,2676.832698,2837.237368,2882.471224,2888.738336,2905.904722,2930.914618,2956.516263,2997.943089,2954.966829
Samoa,3487.169815,3790.586688,3994.694834,4226.80407,4513.226983,4816.581754,5027.896853,5454.115605,5579.016217,5313.757658,5360.970497,5655.137334,5480.605903,5505.993493,5570.620519,5831.525656
Kosovo,3688.088054,4782.379635,4820.69745,5200.329414,5476.113407,5983.3044,6390.420478,6983.8792,7249.40936,7506.89862,7782.875107,8222.285712,8547.652384,8903.763429,9194.741819,9781.019679
South Africa,7719.255957,7994.262425,8315.442736,8613.587442,9136.414314,9796.154549,10524.34606,11240.26037,11667.84983,11416.00169,11728.16049,12179.17419,12488.21557,12815.72707,13090.47683,13185.25328
Zambia,1691.967387,1773.963693,1835.247757,1948.531639,2087.213343,2248.465939,2434.454195,2637.277877,2819.650593,3017.024571,3269.794329,3419.01046,3634.780353,3765.584162,3893.549478,3927.761816
Zimbabwe,2344.271146,2421.530752,2235.360895,1885.511354,1818.104977,1759.358119,1738.51425,1705.901346,1417.507098,1581.161558,1888.566739,2168.110293,2534.541919,2583.985638,2648.568967,2679.580317
