Country,Life Expectancy
"United States of America",76
China,76
Japan,84
Germany,81
India,69
"United Kingdom",81
France,82
Russia,73
Canada,82
Italy,83
Brazil,75
Australia,83
"Korea, Rep.",83
Mexico,75
Spain,83
Indonesia,71
Saudi Arabia,75
Netherlands,82
Türkiye,77
Switzerland,83
Poland,78
Argentina,76
Sweden,83
Norway,83
Belgium,81
Cuba,79
Ireland,82
Israel,83
"United Arab Emirates",77
Thailand,75
Nigeria,54
"Egypt, Arab Rep.",71
Austria,81
Singapore,83
Bangladesh,72
Vietnam,75
Malaysia,76
"South Africa",63
Philippines,69
Denmark,81
"Iran, Islamic Rep.",76
Pakistan,67
"Hong Kong SAR, China",85
Colombia,77
Romania,76
Chile,80
Czech Republic,79
Finland,82
Iraq,70
Portugal,82
"New Zealand",82
Peru,76
Qatar,80
Kazakhstan,73
Greece,82
Algeria,76
Kuwait,75
Hungary,76
Ukraine,73
Morocco,76
Ethiopia,66
"Slovak Republic",78
Ecuador,76
Oman,77
"Dominican Republic",74
"Puerto Rico",81
Kenya,66
Angola,61
Guatemala,74
Bulgaria,75
Luxembourg,82
Uzbekistan,71
Azerbaijan,73
Panama,78
Tanzania,65
Sri Lanka,77
Ghana,63
Belarus,74
Uruguay,77
Croatia,78
Lithuania,75
"Côte d'Ivoire",57
"Costa Rica",80
Serbia,76
Slovenia,81
Myanmar,67
"Congo, Dem. Rep.",60
Sudan,65
Jordan,74
Tunisia,76
Libya,72
Turkmenistan,68
Uganda,63
Bahrain,77
Cameroon,58
Bolivia,71
Paraguay,74
Latvia,75
Nepal,70
Estonia,78
"El Salvador",74
Honduras,75
"Papua New Guinea",64
Cambodia,69
Zambia,63
Cyprus,80
"Trinidad and Tobago",73
Iceland,83
Senegal,67
Georgia,73
"Bosnia and Herzegovina",77
Lebanon,79
"Macao SAR, China",84
Guinea,61
Gabon,66
Zimbabwe,61
Botswana,69
Haiti,64
Armenia,75
"West Bank and Gaza",74
Burkina Faso,61
Albania,78
Mali,58
Mozambique,60
Malta,82
Benin,61
Jamaica,74
Mongolia,69
"Brunei Darussalam",75
"Lao PDR",67
Nicaragua,74
Guyana,69
Madagascar,66
"Congo, Rep.",64
Afghanistan,64
Moldova,72
Niger,62
"North Macedonia",75
Rwanda,68
Malawi,64
Mauritius,74
"Bahamas, The",76
Chad,54
Namibia,63
"Equatorial Guinea",58
"Channel Islands",83
"Syrian Arab Republic",71
"Kyrgyz Republic",71
Tajikistan,71
Mauritania,64
"New Caledonia",77
Kosovo,71
Monaco,89
Togo,60
Somalia,57
Bermuda,81
Liechtenstein,82
"Isle of Man",81
Maldives,78
Guam,79
Montenegro,76
"French Polynesia",77
"Cayman Islands",81
Barbados,79
Fiji,67
Eswatini,59
"Virgin Islands (U.S.)",80
Liberia,63
"Sierra Leone",54
"Faroe Islands",82
Suriname,71
Djibouti,67
Andorra,82
Greenland,71
"Timor-Leste",69
Aruba,76
Burundi,61
Belize,74
Curaçao,78
Lesotho,54
Bhutan,71
"Central African Republic",53
"Cabo Verde",73
"Gambia, The",61
"St. Lucia",76
San Marino,83
"Antigua and Barbuda",76
"Guinea-Bissau",58
"Solomon Islands",73
Seychelles,73
"Sint Maarten (Dutch part)",78
Grenada,72
Comoros,64
"Turks and Caicos Islands",80
Vanuatu,70
"St. Kitts and Nevis",76
"St. Vincent and the Grenadines",72
"Northern Mariana Islands",76
Samoa,73
"American Samoa",75
Dominica,75
"São Tomé and Principe",70
Tonga,70
"Micronesia, Fed. Sts.",67
"Marshall Islands",73
Kiribati,68
Palau,73
Nauru,67
Tuvalu,66
Venezuela,76
"Central African Rep.",53
"Dem. Rep. Congo",60
Gabon,66
Congo,64
Iran,76
Turkey,77
Egypt,71
Czechia,79
Slovakia,78
"Dominican Rep.",74
"S. Sudan",57
Eritrea,66
Somaliland,NA
Yemen,66
Syria,71
Kyrgyzstan,71
Laos,67
"North Korea",72
"South Korea",83
Taiwan,80
"W. Sahara",NA
"Bosnia and Herz.",77
Macedonia,75